D92BXK2,FX2,cmc,MOC-R4PAC08U37-CMC,,R4-PA-C08,37,10.2.14.190,F4:8E:38:C7:7E:9E,,
DBBGXK2,FC430,idrac,MOC-R4PAC08U37-S1A-OBM,Server-1a,R4-PA-C08,37,10.2.14.191,E0:D8:48:E3:0C:80,,,1/27/4
DBCBXK2,FC430,idrac,MOC-R4PAC08U37-S1B-OBM,Server-1b,R4-PA-C08,37,10.2.14.192,E0:D8:48:E3:0D:50,,,1/27/3
DBCCXK2,FC430,idrac,MOC-R4PAC08U37-S1C-OBM,Server-1c,R4-PA-C08,37,10.2.14.193,E0:D8:48:E3:13:09,,,1/28/4
DBBHXK2,FC430,idrac,MOC-R4PAC08U37-S1D-OBM,Server-1d,R4-PA-C08,37,10.2.14.194,E0:D8:48:E3:13:0A,,,1/28/3
DBCDXK2,FC430,idrac,MOC-R4PAC08U37-S3A-OBM,Server-3a,R4-PA-C08,37,10.2.14.195,E0:D8:48:E3:0C:9A,,,1/27/2
DBCGXK2,FC430,idrac,MOC-R4PAC08U37-S3B-OBM,Server-3b,R4-PA-C08,37,10.2.14.196,E0:D8:48:E3:0E:BE,,,1/27/1
DBCHXK2,FC430,idrac,MOC-R4PAC08U37-S3C-OBM,Server-3c,R4-PA-C08,37,10.2.14.197,E0:D8:48:E3:14:77,,,1/28/2
DBCFXK2,FC430,idrac,MOC-R4PAC08U37-S3D-OBM,Server-3d,R4-PA-C08,37,10.2.14.198,E0:D8:48:E3:14:78,,,1/28/1
HBQ21Q2,FX2,cmc,MOC-R4PAC08U35-CMC,,R4-PA-C08,35,10.2.14.180,54:48:10:F1:DC:64,,
HBF21Q2,FC430,idrac,MOC-R4PAC08U35-S1A-OBM,Server-1a,R4-PA-C08,35,10.2.14.181,A8:99:69:6D:E1:40,,,1/25/4
HBD51Q2,FC430,idrac,MOC-R4PAC08U35-S1B-OBM,Server-1b,R4-PA-C08,35,10.2.14.182,A8:99:69:6D:E2:10,,,1/25/3
