518ZKH2,FX2,cmc,MOC-R4PAC10U37-CMC,,R4-PA-C10,37,10.2.13.190,F4:8E:38:C7:54:9E,,
50DWKH2,FC430,idrac,MOC-R4PAC10U37-S1A-OBM,Server-1a,R4-PA-C10,37,10.2.13.191,40:5C:FD:65:F3:00,,,1/27/4
50DXKH2,FC430,idrac,MOC-R4PAC10U37-S1B-OBM,Server-1b,R4-PA-C10,37,10.2.13.192,40:5C:FD:65:F3:D0,,,1/27/3
50D4LH2,FC430,idrac,MOC-R4PAC10U37-S1C-OBM,Server-1c,R4-PA-C10,37,10.2.13.193,40:5C:FD:65:F9:89,,,1/28/4
50D5LH2,FC430,idrac,MOC-R4PAC10U37-S1D-OBM,Server-1d,R4-PA-C10,37,10.2.13.194,40:5C:FD:65:F9:8A,,,1/28/3
50CZKH2,FC430,idrac,MOC-R4PAC10U37-S3A-OBM,Server-3a,R4-PA-C10,37,10.2.13.195,40:5C:FD:65:F3:1A,,,1/27/2
50CYKH2,FC430,idrac,MOC-R4PAC10U37-S3B-OBM,Server-3b,R4-PA-C10,37,10.2.13.196,40:5C:FD:65:F5:3E,,,1/27/1
50D3LH2,FC430,idrac,MOC-R4PAC10U37-S3C-OBM,Server-3c,R4-PA-C10,37,10.2.13.197,40:5C:FD:65:FA:F7,,,1/28/2
8CSDB03,FC430,idrac,MOC-R4PAC10U37-S3D-OBM,Server-3d,R4-PA-C10,37,10.2.13.198,40:5C:FD:65:FA:F8,,,1/28/1
4X591Q2,FX2,cmc,MOC-R4PAC10U35-CMC,,R4-PA-C10,35,10.2.13.180,54:48:10:F1:DC:D4,,
4WQ81Q2,FC430,idrac,MOC-R4PAC10U35-S1A-OBM,Server-1a,R4-PA-C10,35,10.2.13.181,A8:99:69:89:65:00,,,1/25/4
4WR0HQ2,FC430,idrac,MOC-R4PAC10U35-S1B-OBM,Server-1b,R4-PA-C10,35,10.2.13.182,A8:99:69:89:65:D0,,,1/25/3
H9M51Q2,FC430,idrac,MOC-R4PAC10U35-S1C-OBM,Server-1c,R4-PA-C10,35,10.2.13.183,A8:99:69:89:6B:89,,,1/26/4
4WR2HQ2,FC430,idrac,MOC-R4PAC10U35-S1D-OBM,Server-1d,R4-PA-C10,35,10.2.13.184,A8:99:69:89:6B:8A,,,1/26/3
4WQZGQ2,FC430,idrac,MOC-R4PAC10U35-S3A-OBM,Server-3a,R4-PA-C10,35,10.2.13.185,A8:99:69:89:65:1A,,,1/25/2
4WR1HQ2,FC430,idrac,MOC-R4PAC10U35-S3B-OBM,Server-3b,R4-PA-C10,35,10.2.13.186,A8:99:69:89:67:3E,,,1/25/1
4WR81Q2,FC430,idrac,MOC-R4PAC10U35-S3C-OBM,Server-3c,R4-PA-C10,35,10.2.13.187,A8:99:69:89:6C:F7,,,1/26/2
4WR61Q2,FC430,idrac,MOC-R4PAC10U35-S3D-OBM,Server-3d,R4-PA-C10,35,10.2.13.188,A8:99:69:89:6C:F8,,,1/26/1
4X60HQ2,FX2,cmc,MOC-R4PAC10U33-CMC,,R4-PA-C10,33,10.2.13.170,54:48:10:F1:DD:44,,
50GWKH2,FC430,idrac,MOC-R4PAC10U33-S1A-OBM,Server-1a,R4-PA-C10,33,10.2.13.171,A8:99:69:8A:97:40,,,1/23/4
4WY61Q2,FC430,idrac,MOC-R4PAC10U33-S1B-OBM,Server-1b,R4-PA-C10,33,10.2.13.172,A8:99:69:8A:98:10,,,1/23/3
4WS1HQ2,FC430,idrac,MOC-R4PAC10U33-S1C-OBM,Server-1c,R4-PA-C10,33,10.2.13.173,A8:99:69:8A:9D:C9,,,1/24/4
4WS2HQ2,FC430,idrac,MOC-R4PAC10U33-S1D-OBM,Server-1d,R4-PA-C10,33,10.2.13.174,A8:99:69:8A:9D:CA,,,1/24/3
4WRZGQ2,FC430,idrac,MOC-R4PAC10U33-S3A-OBM,Server-3a,R4-PA-C10,33,10.2.13.175,A8:99:69:8A:97:5A,,,1/23/2
4WS0HQ2,FC430,idrac,MOC-R4PAC10U33-S3B-OBM,Server-3b,R4-PA-C10,33,10.2.13.176,A8:99:69:8A:99:7E,,,1/23/1
4WS81Q2,FC430,idrac,MOC-R4PAC10U33-S3C-OBM,Server-3c,R4-PA-C10,33,10.2.13.177,A8:99:69:8A:9F:37,,,1/24/2
4WSZGQ2,FC430,idrac,MOC-R4PAC10U33-S3D-OBM,Server-3d,R4-PA-C10,33,10.2.13.178,A8:99:69:8A:9F:38,,,1/24/1
JVD9KH2,FX2,cmc,MOC-R4PAC10U31-CMC,,R4-PA-C10,31,10.2.13.160,F4:8E:38:C7:4A:B2,,
50GXKH2,FC430,idrac,MOC-R4PAC10U31-S1A-OBM,Server-1a,R4-PA-C10,31,10.2.13.161,10:7D:1A:9C:48:C0,,,1/21/4
508XKH2,FC430,idrac,MOC-R4PAC10U31-S1B-OBM,Server-1b,R4-PA-C10,31,10.2.13.162,10:7D:1A:9C:49:90,,,1/21/3
JVB8KH2,FC430,idrac,MOC-R4PAC10U31-S1C-OBM,Server-1c,R4-PA-C10,31,10.2.13.163,10:7D:1A:9C:4F:49,,,1/22/4
JVB8HH2,FC430,idrac,MOC-R4PAC10U31-S1D-OBM,Server-1d,R4-PA-C10,31,10.2.13.164,10:7D:1A:9C:4F:4A,,,1/22/3
JVBFDH2,FC430,idrac,MOC-R4PAC10U31-S3A-OBM,Server-3a,R4-PA-C10,31,10.2.13.165,10:7D:1A:9C:48:DA,,,1/21/2
JVBBHH2,FC430,idrac,MOC-R4PAC10U31-S3B-OBM,Server-3b,R4-PA-C10,31,10.2.13.166,10:7D:1A:9C:4A:FE,,,1/21/1
JVB7KH2,FC430,idrac,MOC-R4PAC10U31-S3C-OBM,Server-3c,R4-PA-C10,31,10.2.13.167,10:7D:1A:9C:50:B7,,,1/22/2
JVB9KH2,FC430,idrac,MOC-R4PAC10U31-S3D-OBM,Server-3d,R4-PA-C10,31,10.2.13.168,10:7D:1A:9C:50:B8,,,1/22/1
4JN4RP2,FX2,cmc,MOC-R4PAC10U29-CMC,,R4-PA-C10,29,10.2.13.150,58:8A:5A:F7:A2:8A,,
